"venue","freq","rel_freq"
"WoSC",7,13.7254901960784
"USENIX ATC",5,9.80392156862745
"IEEE CLOUD",3,5.88235294117647
"ACM/SIGAPP SAC",2,3.92156862745098
"Future Generation Computer Systems",2,3.92156862745098
"ICSOC",2,3.92156862745098
"IEEE Big Data",2,3.92156862745098
"IEEE IC2E",2,3.92156862745098
"USENIX HotCloud",2,3.92156862745098
"USENIX NSDI",2,3.92156862745098
"3PGCIC",1,1.96078431372549
"ACM ASPLOS",1,1.96078431372549
"ACM BCB ParBio",1,1.96078431372549
"ACM HotNets",1,1.96078431372549
"ACM NOSSDAV",1,1.96078431372549
"ACM SOCC",1,1.96078431372549
"ACM/IEEE IoTDI",1,1.96078431372549
"AMGCC",1,1.96078431372549
"CARLA",1,1.96078431372549
"Concurrency and Computation: Practice and Experience",1,1.96078431372549
"DCPerf",1,1.96078431372549
"ESOCC",1,1.96078431372549
"Eurosys Docsym",1,1.96078431372549
"IARIA ICSEA",1,1.96078431372549
"IEEE CLOUD (WIP)",1,1.96078431372549
"IEEE CloudCom",1,1.96078431372549
"IEEE SmartCloud",1,1.96078431372549
"IEEE/ACM UCC",1,1.96078431372549
"Internet Technology Letters",1,1.96078431372549
"IOV",1,1.96078431372549
"MDPI Computers",1,1.96078431372549
"MLSys",1,1.96078431372549
